Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Peak Freq (Hz)	High Freq (Hz)	Delta Time (s)	File Offset (s)	Begin Path	Begin File	Class	Sound type	Comments
28	Spectrogram 1	1	54.048025323	54.278936333	29.1	93.8	236.2	0.231	54.048	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
29	Spectrogram 1	1	61.326340338	61.501832705	29.1	43.9	343.0	0.175	61.326	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
30	Spectrogram 1	1	68.589894756	68.839278646	29.1	93.8	301.0	0.249	68.590	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
31	Spectrogram 1	1	70.492601473	70.640384519	32.4	38.1	278.3	0.148	70.493	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	toot	
32	Spectrogram 1	1	71.711811602	71.831885327	25.9	35.2	197.4	0.120	71.712	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	toot	
33	Spectrogram 1	1	72.099742098	72.404544630	29.1	90.8	359.2	0.305	72.100	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
34	Spectrogram 1	1	72.774002245	72.931021731	38.8	82.0	365.7	0.157	72.774	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
35	Spectrogram 1	1	73.217351383	73.318952227	29.1	38.1	265.4	0.102	73.217	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
36	Spectrogram 1	1	73.512917475	73.623754759	25.9	29.3	310.7	0.111	73.513	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
37	Spectrogram 1	1	80.194576149	80.370068517	22.7	29.3	168.3	0.175	80.195	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
38	Spectrogram 1	1	81.884844738	82.004918463	22.7	38.1	161.8	0.120	81.885	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
39	Spectrogram 1	1	82.854670977	83.104054867	25.9	29.3	197.4	0.249	82.855	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
40	Spectrogram 1	1	90.792485542	91.180416038	25.9	181.6	352.8	0.388	90.792	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	two
41	Spectrogram 1	1	91.845439745	91.956277029	32.4	35.2	362.5	0.111	91.845	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
42	Spectrogram 1	1	92.759847342	93.120068517	35.6	38.1	365.7	0.360	92.760	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
43	Spectrogram 1	1	93.295560884	93.424871049	25.9	29.3	359.2	0.129	93.296	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
44	Spectrogram 1	1	93.628072737	93.738910022	22.7	38.1	446.6	0.111	93.628	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
45	Spectrogram 1	1	93.877456627	94.025239673	29.1	35.2	488.7	0.148	93.877	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
46	Spectrogram 1	1	94.514771013	94.653317619	22.7	26.4	459.5	0.139	94.515	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
47	Spectrogram 1	1	94.958120151	95.262922683	19.4	20.5	203.9	0.305	94.958	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
48	Spectrogram 1	1	95.262922683	95.410705729	19.4	20.5	443.4	0.148	95.263	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
49	Spectrogram 1	1	95.900237069	96.842353987	22.7	26.4	291.3	0.942	95.900	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-knock	series
50	Spectrogram 1	1	97.193338721	97.350358208	32.4	38.1	466.0	0.157	97.193	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
51	Spectrogram 1	1	97.544323455	97.673633621	35.6	38.1	365.7	0.129	97.544	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
52	Spectrogram 1	1	98.080036997	98.227820043	29.1	29.3	385.1	0.148	98.080	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
53	Spectrogram 1	1	98.403312410	98.560331897	25.9	38.1	401.3	0.157	98.403	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
54	Spectrogram 1	1	99.788778466	99.918088631	22.7	29.3	368.9	0.129	99.789	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
55	Spectrogram 1	1	100.573875898	100.998752155	32.4	96.7	404.5	0.425	100.574	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
56	Spectrogram 1	1	102.079415679	102.476582615	25.9	29.3	236.2	0.397	102.079	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
57	Spectrogram 1	1	103.538773258	103.668083423	32.4	35.2	294.5	0.129	103.539	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	toot	
58	Spectrogram 1	1	111.596661548	111.938409842	25.9	93.8	618.1	0.342	111.597	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
59	Spectrogram 1	1	114.764760596	114.912543642	29.1	35.2	223.3	0.148	114.765	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
60	Spectrogram 1	1	115.235819055	116.048625808	29.1	29.3	213.6	0.813	115.236	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grumble	
61	Spectrogram 1	1	116.085571570	116.482738506	32.4	102.5	326.9	0.397	116.086	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
62	Spectrogram 1	1	116.948272809	117.160710937	22.7	26.4	417.5	0.212	116.948	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
63	Spectrogram 1	1	118.176719379	118.296793103	32.4	35.2	407.8	0.120	118.177	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
64	Spectrogram 1	1	119.451348150	119.756150682	19.4	20.5	521.0	0.305	119.451	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
65	Spectrogram 1	1	120.033243894	120.162554059	29.1	29.3	466.0	0.129	120.033	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
66	Spectrogram 1	1	120.605903197	120.735213362	22.7	29.3	375.4	0.129	120.606	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
67	Spectrogram 1	1	120.956887931	121.076961656	22.7	38.1	414.2	0.120	120.957	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
68	Spectrogram 1	1	125.150231861	125.547398797	25.9	26.4	216.8	0.397	125.150	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
69	Spectrogram 1	1	125.815255568	126.249368265	22.7	108.4	362.5	0.434	125.815	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
70	Spectrogram 1	1	127.191485183	127.514760596	25.9	26.4	200.6	0.323	127.191	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
72	Spectrogram 1	1	130.243222791	130.584971085	22.7	90.8	546.9	0.342	130.243	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
73	Spectrogram 1	1	133.466740481	133.660705729	32.4	35.2	142.4	0.194	133.467	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
74	Spectrogram 1	1	135.609594648	135.775850575	29.1	35.2	142.4	0.166	135.610	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
75	Spectrogram 1	1	137.225971713	137.392227640	25.9	35.2	139.2	0.166	137.226	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
76	Spectrogram 1	1	137.835576778	138.112669989	25.9	35.2	317.2	0.277	137.836	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-knock	
77	Spectrogram 1	1	138.482127604	138.620674210	22.7	35.2	349.5	0.139	138.482	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
78	Spectrogram 1	1	138.897767421	139.045550467	29.1	58.6	265.4	0.148	138.898	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
79	Spectrogram 1	1	139.719810614	139.876830101	25.9	29.3	346.3	0.157	139.720	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
80	Spectrogram 1	1	140.218578394	140.366361440	19.4	20.5	356.0	0.148	140.219	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
81	Spectrogram 1	1	140.735819055	140.874365661	25.9	26.4	336.6	0.139	140.736	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
82	Spectrogram 1	1	141.400842762	141.511680047	22.7	26.4	271.8	0.111	141.401	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
83	Spectrogram 1	1	142.130521552	142.259831717	29.1	29.3	258.9	0.129	142.131	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
84	Spectrogram 1	1	142.669947378	142.780784662	29.1	29.3	349.5	0.111	142.670	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
85	Spectrogram 1	1	143.057877874	143.205660920	19.4	20.5	365.7	0.148	143.058	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
86	Spectrogram 1	1	143.584354975	143.722901580	29.1	38.1	359.2	0.139	143.584	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
87	Spectrogram 1	1	144.120068517	144.258615122	22.7	35.2	349.5	0.139	144.120	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
88	Spectrogram 1	1	144.360215966	144.480289691	29.1	29.3	375.4	0.120	144.360	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
89	Spectrogram 1	1	144.665018499	144.785092223	19.4	20.5	359.2	0.120	144.665	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
90	Spectrogram 1	1	145.182259159	145.302332884	25.9	29.3	346.3	0.120	145.182	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
91	Spectrogram 1	1	145.967356591	146.105903197	25.9	29.3	336.6	0.139	145.967	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
92	Spectrogram 1	1	146.493833693	146.641616739	19.4	20.5	326.9	0.148	146.494	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
93	Spectrogram 1	1	146.798636225	147.029547234	38.8	76.2	297.7	0.231	146.799	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
94	Spectrogram 1	1	147.094202317	147.214276042	29.1	38.1	278.3	0.120	147.094	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
95	Spectrogram 1	1	147.445187051	147.592970097	29.1	29.3	339.8	0.148	147.445	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
96	Spectrogram 1	1	148.100974318	148.230284483	29.1	46.9	385.1	0.129	148.101	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
97	Spectrogram 1	1	148.959963272	149.080036997	29.1	35.2	375.4	0.120	148.960	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
98	Spectrogram 1	1	149.892843750	150.068336117	29.1	29.3	304.2	0.175	149.893	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
99	Spectrogram 1	1	150.437793732	150.585576778	32.4	38.1	368.9	0.148	150.438	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
100	Spectrogram 1	1	151.296782687	151.435329292	25.9	26.4	255.7	0.139	151.297	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
101	Spectrogram 1	1	152.017225036	152.174244522	25.9	38.1	275.1	0.157	152.017	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
102	Spectrogram 1	1	154.976598240	155.096671965	29.1	35.2	336.6	0.120	154.977	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
103	Spectrogram 1	1	155.475366020	156.001843121	29.1	70.3	362.5	0.526	155.475	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
104	Spectrogram 1	1	156.833122755	157.036324443	19.4	20.5	207.1	0.203	156.833	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
105	Spectrogram 1	1	159.410089619	159.548636225	29.1	38.1	372.2	0.139	159.410	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
106	Spectrogram 1	1	163.751216595	164.056019127	29.1	29.3	368.9	0.305	163.751	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
107	Spectrogram 1	1	164.536314027	164.711806394	35.6	38.1	427.2	0.175	164.536	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
108	Spectrogram 1	1	164.757988596	165.099736889	29.1	35.2	242.7	0.342	164.758	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
109	Spectrogram 1	1	182.203812590	182.480905801	22.7	93.8	495.1	0.277	182.204	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
110	Spectrogram 1	1	185.113291307	185.556640445	32.4	93.8	407.8	0.443	185.113	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
111	Spectrogram 1	1	187.764149695	188.105897989	38.8	70.3	291.3	0.342	187.764	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	two
112	Spectrogram 1	1	193.226598240	193.485218570	22.7	26.4	268.6	0.259	193.227	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
113	Spectrogram 1	1	209.818957435	210.077577766	25.9	26.4	459.5	0.259	209.819	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
114	Spectrogram 1	1	211.509226024	211.666245510	29.1	35.2	378.6	0.157	211.509	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
115	Spectrogram 1	1	213.753681034	214.123138649	29.1	90.8	398.1	0.369	213.754	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
116	Spectrogram 1	1	217.134218211	217.365129221	29.1	85.0	203.9	0.231	217.134	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
117	Spectrogram 1	1	218.865144846	219.086819415	22.7	90.8	320.4	0.222	218.865	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
118	Spectrogram 1	1	226.217351383	226.346661548	35.6	38.1	537.2	0.129	226.217	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
119	Spectrogram 1	1	226.420553071	226.549863236	42.1	52.7	446.6	0.129	226.421	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
120	Spectrogram 1	1	227.085576778	227.279542026	19.4	20.5	537.2	0.194	227.086	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
121	Spectrogram 1	1	227.390379310	227.565871677	22.7	35.2	543.7	0.175	227.390	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
122	Spectrogram 1	1	227.852201329	228.138530981	25.9	29.3	569.6	0.286	227.852	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	two
123	Spectrogram 1	1	228.258604705	228.378678430	32.4	35.2	534.0	0.120	228.259	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
124	Spectrogram 1	1	228.563407238	228.711190284	22.7	38.1	546.9	0.148	228.563	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
125	Spectrogram 1	1	229.274613147	229.727198725	25.9	29.3	220.1	0.453	229.275	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
126	Spectrogram 1	1	229.985819055	230.115129221	12.9	14.6	301.0	0.129	229.986	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
127	Spectrogram 1	1	230.373749551	230.503059716	16.2	20.5	339.8	0.129	230.374	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
128	Spectrogram 1	1	232.197040589	232.621916846	29.1	35.2	394.8	0.425	232.197	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
129	Spectrogram 1	1	233.046793103	233.277704113	19.4	20.5	213.6	0.231	233.047	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
130	Spectrogram 1	1	234.192111710	234.441495600	25.9	29.3	184.5	0.249	234.192	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
131	Spectrogram 1	1	236.833733657	236.963043822	22.7	29.3	407.8	0.129	236.834	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
132	Spectrogram 1	1	237.267846354	237.397156519	22.7	29.3	436.9	0.129	237.268	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
133	Spectrogram 1	1	237.868214978	237.988288703	25.9	29.3	430.4	0.120	237.868	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
134	Spectrogram 1	1	239.022770025	239.152080190	25.9	26.4	423.9	0.129	239.023	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
135	Spectrogram 1	1	239.475355603	239.872522540	19.4	20.5	378.6	0.397	239.475	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
